model,dataset,mse,r2_score
LSTM,validation,663.9792241,0.658777968
Linear Regression,validation,721.442865,0.773099973
LSTM,test,1130.622894,0.775462892
Linear Regression,test,2822.249069,0.541926559
LSTM,validation,471.85917422653796,0.757509336686397
Linear Regression,validation,721.4519641260954,0.7730971088593914
LSTM,test,1022.6402717886344,0.7969077905479259
Linear Regression,test,2822.4714364465035,0.5418904419445686
LSTM,validation,552.3690225473742,0.716134955474473
Linear Regression,validation,721.4526042134414,0.7730969183593833
LSTM,test,1127.522167898512,0.7760786721794614
Linear Regression,test,2822.587288073936,0.5418716457002097
LSTM,validation,588.7556513641794,0.6974356965380957
Linear Regression,validation,721.4506553367111,0.7730975257695816
LSTM,test,1103.6430232188306,0.780820974257915
Linear Regression,test,2822.46718419448,0.5418911331915939
